job_name,岗位划分,最低薪资,最高薪资,平均薪资,薪资等级,最低经验,最高经验,job_edu,学历要求,城市,区,街道,job_company,公司规模
大数据开发工程师-周末双休（项目外包）,数据开发,14000.0,20000.0,17000.0,10k-20k,1.0,3.0,本科,2,广州,天河,猎德,徽通科技集团有限公司,5499.5
Python后端,后端/全栈,14000.0,15000.0,14500.0,10k-20k,3.0,5.0,本科,2,广州,天河,冼村,徽通科技集团有限公司,5499.5
python工程师,其他,14000.0,15000.0,14500.0,10k-20k,1.0,3.0,本科,2,广州,天河,猎德,徽通科技集团有限公司,5499.5
软件开发工程师（Python）,其他,13846.153846153846,18461.53846153846,16153.846153846152,10k-20k,5.0,10.0,本科,2,上海,浦东,三林,威立雅(中国)环境服务有限公司,5499.5
00154760——数据开发工程师,数据开发,13846.153846153846,18461.53846153846,16153.846153846152,10k-20k,1.0,3.0,本科,2,北京,海淀,,思特奇,5499.5
大数据开发工程师-上海,数据开发,13000.0,14000.0,13500.0,10k-20k,3.0,5.0,本科,2,上海,黄浦,南京东路,深圳市睿服科技有限公司,5499.5
python后端开发工程师（中级）,后端/全栈,13000.0,18000.0,15500.0,10k-20k,1.0,3.0,本科,2,上海,徐汇,虹梅路,台州拜亚进出口有限公司,749.5
大数据工程师,数据开发,13000.0,20000.0,16500.0,10k-20k,3.0,5.0,本科,2,上海,黄浦,小东门,赢时胜,5499.5
大模型与数据工程工程师,数据开发,13000.0,15000.0,14000.0,10k-20k,3.0,5.0,本科,2,北京,西城,德胜,讯猫软件集团有限公司,749.5
python开发工程师,其他,13000.0,18000.0,15500.0,10k-20k,5.0,10.0,本科,2,上海,浦东,金桥,彩讯科技股份有限公司,5499.5
数据开发工程师,数据开发,13000.0,15000.0,14000.0,10k-20k,5.0,10.0,本科,2,广州,天河,棠下,软通动力信息技术(集团)股份有限公司,15000.0
数字化转型工程师,其他,13000.0,17000.0,15000.0,10k-20k,3.0,5.0,本科,2,北京,丰台,东高地,北京中科航天人才服务有限公司,5499.5
Python AI 模型部署接口联调,AI/智能体,13000.0,14000.0,13500.0,10k-20k,3.0,5.0,本科,2,北京,朝阳,劲松,北京中科航天人才服务有限公司,5499.5
数据治理工程师,其他,13000.0,15000.0,14000.0,10k-20k,3.0,5.0,本科,2,上海,徐汇,龙华,上海金亥数智科技有限公司,199.5
数据开发工程师,数据开发,13000.0,16000.0,14500.0,10k-20k,5.0,10.0,本科,2,上海,黄浦,半淞园路,卓为科技,199.5
大数据开发工程师（外包）,数据开发,13000.0,18000.0,15500.0,10k-20k,3.0,5.0,本科,2,广州,黄埔,联和,彩讯科技股份有限公司,5499.5
python后端开发工程师,后端/全栈,13000.0,22000.0,17500.0,10k-20k,1.0,3.0,本科,2,广州,黄埔,联和,广东杰纳医药科技有限公司,199.5
智能体开发工程师,AI/智能体,13000.0,15000.0,14000.0,10k-20k,3.0,5.0,本科,2,广州,黄埔,联和,广州九路科技有限公司,199.5
数据采集工程师（爬虫方向）,爬虫/采集,13000.0,18000.0,15500.0,10k-20k,1.0,3.0,本科,2,北京,丰台,看丹,中资检验认证有限公司,199.5
数据开发工程师,数据开发,13000.0,16000.0,14500.0,10k-20k,5.0,10.0,大专,1,上海,徐汇,龙华,上海微创软件股份有限公司,15000.0
