job_name,job_news,job_city,job_ex,job_edu,job_company,c_info,c_num,c_tag
Python初级大数据开发工程师,1-1.2万,北京·海淀·海淀街道,1-3年,本科,北京远大创新科技有限公司,民营,500-999人,半导体/芯片
python后端开发工程师,8000-11000元,北京·海淀·中关村,经验不限,本科,北京华脉世纪科技有限公司,民营,20-99人,仪器仪表
高级爬虫工程师,1.5-3万,北京·丰台·看丹,5-10年,本科,协合运维,股份制企业,1000-9999人,风电
python大数据工程师(数据采集岗),1-1.2万,北京·海淀·海淀街道,1-3年,本科,北京远大创新科技有限公司,民营,500-999人,半导体/芯片
python开发工程师,1.2-1.8万,北京·海淀·海淀街道,3-5年,本科,北京信利恒丰科技发展有限公司,民营,20-99人,软件/IT服务
大数据开发工程师（电网）,1.3-1.6万,北京·西城·西长安街,5-10年,本科,安徽云控信息科技有限公司,民营,100-299人,软件/IT服务
python爬虫工程师,1.4-1.7万,上海·徐汇·龙华,3-5年,本科,上海策贸科技有限公司,,20-99人,软件/IT服务
智能体开发工程师-外派,3.5-4.5万,上海·徐汇·虹梅路,经验不限,本科,康龙化成,上市公司,10000人以上,医药研发/生产外包（CXO）
python后端开发工程师,1.2-2.4万,上海·青浦·金泽,经验不限,本科,外企德科数字技术有限公司,合资,10000人以上,软件/IT服务
java数据开发工程师,1.4-1.8万,上海·虹口·北外滩,3-5年,本科,安徽中安润微科技有限公司,民营,100-299人,软件/IT服务
python开发,8000-12000元·13薪,上海·闵行·新虹,3-5年,本科,上海海旭晟电力有限公司,外商独资,1000-9999人,光伏
python(语言不限制无经验可投）,1.5-3万,上海·浦东·金桥,经验不限,本科,外企德科数字技术有限公司,合资,10000人以上,软件/IT服务
数据开发工程师,1.3-2万,上海·青浦·徐泾,3-5年,本科,上海均瑶世外教育科技(集团)有限责任公司,民营,1000-9999人,学校/学历教育
数据清洗工程师,1-1.3万,上海·徐汇·龙华,1-3年,本科,上海策贸科技有限公司,,20-99人,软件/IT服务
软件开发工程师（后端/平台方向）,1.8-2.5万,上海·浦东·金桥,经验不限,本科,外企德科数字技术有限公司,合资,10000人以上,软件/IT服务
python数字化前后端开发,1.5-1.7万,上海·黄浦·瑞金二路,3-5年,本科,鼎欣汇智科技（北京）股份有限公司,股份制企业,1000-9999人,软件/IT服务
数据工程师（现场面试+不卷+周末双休）,1.5-1.6万,上海·静安·大宁路,3-5年,本科,上海信息人才服务有限公司,国企,20-99人,人力资源
急招python/java/C/C＋＋/js软件开发工程师（26届友好导师带教）,1.5-3万·14薪,上海·浦东·金桥,1-3年,本科,外企德科数字技术有限公司,合资,10000人以上,软件/IT服务
爬虫工程师,1.1-1.4万,上海·徐汇·龙华,1-3年,本科,上海策贸科技有限公司,,20-99人,软件/IT服务
数据开发工程师,1.6-1.7万,上海·黄浦·小东门,5-10年,大专,上海信息人才服务有限公司,国企,20-99人,人力资源
数据开发工程师,1.3-1.6万,上海·徐汇·龙华,5-10年,大专,上海微创软件股份有限公司,合资,10000人以上,软件/IT服务
大数据开发工程师,2.3-3.5万,上海·浦东·张江,经验不限,本科,苏州人瑞普惠人力资源服务有限公司,上市公司,20-99人,产业互联网平台
python（面试快）,1.4-1.6万,上海·浦东·唐镇,3-5年,本科,深圳建广数字科技有限公司青岛分公司,民营,20人以下,软件/IT服务
Python（稳定、福利好、14-16薪）,1.5-3万·16薪,上海·青浦·金泽,1-3年,本科,万宝盛华企业管理咨询（上海）有限公司,上市公司,500-999人,人力资源
数据开发工程师,1.8-2.5万,上海·虹口·曲阳路,3-5年,本科,上海信息人才服务有限公司,国企,20-99人,人力资源
时序数据治理工程师,1.2-1.6万,上海·浦东·周家渡,3-5年,本科,华胜(山东)信息科技有限公司,民营,20-99人,软件/IT服务
数据治理工程师（财务方向）,9000-16000元,上海·宝山·杨行,3-5年,本科,沈阳东硕信息技术有限公司,民营,1000-9999人,软件/IT服务
